Pais,IdPais,Continente,PaisesIngles,Code
"Africa",1,"Africa",,,
"Africa u Oceania",2,"Oceania",,,
"Alemania",3,"Europa","Germany","DEU"
"Argentina",4,"America del Sur","Argentina","ARG"
"Asia del Este y Pacifico",5,"Asia",,,
"Asia Meridional",6,"Asia",,,
"Bolivia",7,"America del Sur","Bolivia","BOL"
"Brasil",8,"America del Sur","Brazil","BRA"
"Canada",9,"America del Norte","Canada","CAN"
"Centro y Norte America",10,"America del Norte",,,
"Chile",11,"America del Sur","Chile","CHL"
"China",12,"Asia","China","CHN"
"Colombia",13,"America del Sur","Colombia","COL"
"Cuba",14,"America Central","Cuba","CUB"
"Ecuador",15,"America del Sur","Ecuador","ECU"
"EE.UU.",16,"America del Norte","United States of America","USA"
"España",17,"Europa","Spain","ESP"
"Europa",18,"Europa",,,
"Francia",19,"Europa","France","FRA"
"Gran Bretaña",20,"Europa","United Kingdom","GBR"
"Israel",21,"Asia","Israel","ISR"
"Italia",22,"Europa","Italy","ITA"
"Japon",23,"Asia","Japan","JPN"
"Mexico",24,"America del Norte","Mexico","MEX"
"Oriente Medio",25,"Asia",,,
"Otro de America",26,"America Central",,,
"Otro de Europa",27,"Europa",,,
"Otro pais de Asia",28,"Asia",,,
"Paraguay",29,"America del Sur","Paraguay","PRY"
"Peru",30,"America del Sur","Peru","PER"
"Resto Sud America",31,"America del Sur",,,
"Suecia",32,"Europa","Sweden","SWE"
"Suiza",33,"Europa","Switzerland","CHE"
"Uruguay",34,"America del Sur","Uruguay","URY"
"Venezuela",35,"America del Sur","Venezuela","VEN"
